Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 aromas 	 [0, 20] 	 0.09523809523809523 	 0.6989700043360189 	 0.0665685718415256
	 include 	 [1] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 tropical 	 [2] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 fruit 	 [3] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 broom 	 [4] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 brimstone 	 [5] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 dried 	 [16, 6] 	 0.09523809523809523 	 0.6989700043360189 	 0.0665685718415256
	 herb 	 [7] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 palate 	 [8] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 isnt 	 [9] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 overly 	 [10] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 expressive 	 [11] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 offer 	 [12] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 unripened 	 [13] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 apple 	 [14] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 citrus 	 [15] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 sage 	 [17] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 brisk 	 [18] 	 0.047619047619047616 	 1.0 	 0.047619047619047616
	 acidity 	 [19] 	 0.047619047619047616 	 1.0 	 0.047619047619047616


Documento 1
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 ripe 	 [0] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 fruity 	 [1] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 a 	 [2] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 wine 	 [3] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 smooth 	 [4] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 structured 	 [5] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 firm 	 [6] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 tannins 	 [7] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 fill 	 [8] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 juicy 	 [9] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 red 	 [10] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 berry 	 [11] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 fruits 	 [12] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 freshened 	 [13] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 acidity 	 [14] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 drinkable 	 [15] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 2016 	 [16] 	 0.058823529411764705 	 1.0 	 0.058823529411764705


Documento 2
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 tart 	 [0] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 snappy 	 [1] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 flavors 	 [2, 13] 	 0.11764705882352941 	 0.6989700043360189 	 0.08223176521600221
	 lime 	 [3] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 flesh 	 [4] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 rind 	 [5] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 dominate 	 [6] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 green 	 [7] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 pineapple 	 [8] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 pokes 	 [9] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 crisp 	 [10] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 acidity 	 [11] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 underscoring 	 [12] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 wine 	 [14] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 stainless-steel 	 [15] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 fermented 	 [16] 	 0.058823529411764705 	 1.0 	 0.058823529411764705


Documento 3
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 pineapple 	 [0] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 rind 	 [1] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 lemon 	 [2] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 pith 	 [3] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 orange 	 [4] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 blossom 	 [5] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 start 	 [6] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 aromas 	 [7] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 palate 	 [8] 	 0.045454545454545456 	 1.0 	 0.045454545454545456
	 a 	 [9, 17] 	 0.09090909090909091 	 0.6989700043360189 	 0.06354272766691081
