Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 cherry		[1]		1.0	1.30103	1.30103
	 laced		[3]		1.0	1.30103	1.30103
	 light		[4]		1.0	1.30103	1.30103
	 character		[11]		1.0	1.0	1.0
	 red		[0]		1.0	0.82391	0.82391
	 give		[6]		1.0	0.82391	0.82391
	 bright		[7]		1.0	0.82391	0.82391
	 open		[9]		1.0	0.82391	0.82391
	 juicy		[10]		1.0	0.82391	0.82391
	 tannins		[5]		1.0	0.69897	0.69897
	 fruit		[2]		1.0	0.30103	0.30103
	 wine		[8]		1.0	0.25964	0.25964


Documento 1
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 merlot		[0]		1.0	1.30103	1.30103
	 nero		[1]		1.0	1.30103	1.30103
	 davola		[2]		1.0	1.30103	1.30103
	 form		[3]		1.0	1.30103	1.30103
	 base		[4]		1.0	1.30103	1.30103
	 easy		[5]		1.0	1.30103	1.30103
	 fettuccine		[9]		1.0	1.30103	1.30103
	 pork		[12]		1.0	1.30103	1.30103
	 roast		[13]		1.0	1.30103	1.30103
	 sharp		[18]		1.0	1.30103	1.30103
	 meat		[10]		1.0	1.0	1.0
	 sauce		[11]		1.0	1.0	1.0
	 quality		[14]		1.0	1.0	1.0
	 red		[6]		1.0	0.82391	0.82391
	 clean		[16]		1.0	0.82391	0.82391
	 bright		[17]		1.0	0.82391	0.82391
	 pair		[8]		1.0	0.69897	0.69897
	 fruit		[15]		1.0	0.30103	0.30103
	 wine		[7]		1.0	0.25964	0.25964


Documento 2
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 extend		[1]		1.0	1.30103	1.30103
	 calanìca		[2]		1.0	1.30103	1.30103
	 series		[3]		1.0	1.30103	1.30103
	 grillo-viognier		[4]		1.0	1.30103	1.30103
	 honeysuckle		[8]		1.0	1.30103	1.30103
	 jasmine		[9]		1.0	1.30103	1.30103
	 cut		[12]		1.0	1.30103	1.30103
	 wild		[14]		1.0	1.30103	1.30103
	 sage		[15]		1.0	1.30103	1.30103
	 mouth		[16]		1.0	1.30103	1.30103
	 yellow-fruit		[19]		1.0	1.30103	1.30103
	 show		[6, 17]		1.30103	0.82391	1.07193
	 part		[0]		1.0	1.0	1.0
	 back		[10]		1.0	1.0	1.0
	 grass		[13]		1.0	1.0	1.0
	 blend		[5]		1.0	0.82391	0.82391
	 touch		[11]		1.0	0.69897	0.69897
	 ripe		[18]		1.0	0.69897	0.69897
	 aromas		[7]		1.0	0.60206	0.60206
	 flavors		[20]		1.0	0.39794	0.39794


Documento 3
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 rustic		[0]		1.0	1.30103	1.30103
	 berries		[3]		1.0	1.30103	1.30103
	 currants		[4]		1.0	1.30103	1.30103
	 licorice		[5]		1.0	1.30103	1.30103
	 spices		[6]		1.0	1.30103	1.30103
	 cabernet		[7, 9]		1.30103	1.0	1.30103
	 franc		[8]		1.0	1.30103	1.30103
	 dry		[1]		1.0	1.0	1.0
	 sauvignon		[10]		1.0	0.69897	0.69897
	 flavors		[2]		1.0	0.39794	0.39794


Documento 4
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 tart		[2]		1.0	1.30103	1.30103
	 similar		[6]		1.0	1.30103	1.30103
	 include		[11]		1.0	1.30103	1.30103
	 unoaked		[16]		1.0	1.30103	1.30103
	 splash		[18]		1.0	1.30103	1.30103
	 muscat		[19]		1.0	1.30103	1.30103
	 commendable		[20]		1.0	1.30103	1.30103
	 dryness		[21]		1.0	1.30103	1.30103
	 green		[3]		1.0	1.0	1.0
	 gooseberry		[4]		1.0	1.0	1.0
	 zealand		[7]		1.0	1.0	1.0
	 tropical		[12]		1.0	1.0	1.0
	 orange		[14]		1.0	1.0	1.0
	 show		[0]		1.0	0.82391	0.82391
	 blanc		[9]		1.0	0.82391	0.82391
	 honey		[15]		1.0	0.82391	0.82391
	 acidity		[22]		1.0	0.82391	0.82391
	 sauvignon		[8]		1.0	0.69897	0.69897
	 flavor		[5]		1.0	0.60206	0.60206
	 note		[10]		1.0	0.45593	0.45593
	 fruit		[13]		1.0	0.30103	0.30103
	 a		[1, 17]		1.30103	0.1549	0.20153


Documento 5
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 erath		[0]		1.0	1.30103	1.30103
	 2010		[1]		1.0	1.30103	1.30103
	 vineyard		[2]		1.0	1.30103	1.30103
	 designates		[3]		1.0	1.30103	1.30103
	 strongly		[4]		1.0	1.30103	1.30103
	 herbal		[5]		1.0	1.30103	1.30103
	 leaf		[7]		1.0	1.30103	1.30103
	 create		[9]		1.0	1.30103	1.30103
	 unripe		[10]		1.0	1.30103	1.30103
	 impressions		[12]		1.0	1.30103	1.30103
	 pass		[18]		1.0	1.30103	1.30103
	 ripeness		[19]		1.0	1.30103	1.30103
	 tomatoes		[21]		1.0	1.30103	1.30103
	 herb		[8]		1.0	1.0	1.0
	 bitterness		[15]		1.0	1.0	1.0
	 touch		[14]		1.0	0.69897	0.69897
	 sweet		[20]		1.0	0.69897	0.69897
	 flavor		[11]		1.0	0.60206	0.60206
	 finish		[16]		1.0	0.60206	0.60206
	 note		[6]		1.0	0.45593	0.45593
	 fruit		[17]		1.0	0.30103	0.30103
	 a		[13]		1.0	0.1549	0.1549


Documento 6
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 flower		[1]		1.0	1.30103	1.30103
	 lychee		[2]		1.0	1.30103	1.30103
	 apple		[3]		1.0	1.30103	1.30103
	 carry		[5]		1.0	1.30103	1.30103
	 mellow		[6]		1.0	1.30103	1.30103
	 bouquet		[7]		1.0	1.30103	1.30103
	 chunky-feeling		[8]		1.0	1.30103	1.30103
	 powdery		[11]		1.0	1.30103	1.30103
	 peach		[14]		1.0	1.30103	1.30103
	 melon		[15]		1.0	1.30103	1.30103
	 mix		[16]		1.0	1.30103	1.30103
	 greener		[17]		1.0	1.30103	1.30103
	 lime		[20]		1.0	1.30103	1.30103
	 80%		[21]		1.0	1.30103	1.30103
	 viognier		[22]		1.0	1.30103	1.30103
	 component		[23]		1.0	1.30103	1.30103
	 typical		[24]		1.0	1.30103	1.30103
	 warm		[25]		1.0	1.30103	1.30103
	 climate		[26]		1.0	1.30103	1.30103
	 oily		[28]		1.0	1.30103	1.30103
	 short		[30]		1.0	1.30103	1.30103
	 chardonnay		[32]		1.0	1.30103	1.30103
	 fill		[33]		1.0	1.30103	1.30103
	 bear		[10]		1.0	1.0	1.0
	 grass		[19]		1.0	1.0	1.0
	 plump		[27]		1.0	1.0	1.0
	 white		[0]		1.0	0.82391	0.82391
	 blend		[34]		1.0	0.82391	0.82391
	 sweet		[12]		1.0	0.69897	0.69897
